Region,Age,Gender,Smoke,BMI,Risk,SBP
North Afrika and Middle East,70-74,M,Non-smoker,<20,40,>=180
North Afrika and Middle East,70-74,M,Non-smoker,<20,33,160-179
North Afrika and Middle East,70-74,M,Non-smoker,<20,28,140-159
North Afrika and Middle East,70-74,M,Non-smoker,<20,23,120-139
North Afrika and Middle East,70-74,M,Non-smoker,<20,19,<120
North Afrika and Middle East,65-69,M,Non-smoker,<20,31,>=180
North Afrika and Middle East,65-69,M,Non-smoker,<20,26,160-179
North Afrika and Middle East,65-69,M,Non-smoker,<20,21,140-159
North Afrika and Middle East,65-69,M,Non-smoker,<20,17,120-139
North Afrika and Middle East,65-69,M,Non-smoker,<20,13,<120
North Afrika and Middle East,60-64,M,Non-smoker,<20,25,>=180
North Afrika and Middle East,60-64,M,Non-smoker,<20,19,160-179
North Afrika and Middle East,60-64,M,Non-smoker,<20,15,140-159
North Afrika and Middle East,60-64,M,Non-smoker,<20,12,120-139
North Afrika and Middle East,60-64,M,Non-smoker,<20,9,<120
North Afrika and Middle East,55-59,M,Non-smoker,<20,19,>=180
North Afrika and Middle East,55-59,M,Non-smoker,<20,15,160-179
North Afrika and Middle East,55-59,M,Non-smoker,<20,11,140-159
North Afrika and Middle East,55-59,M,Non-smoker,<20,9,120-139
North Afrika and Middle East,55-59,M,Non-smoker,<20,6,<120
North Afrika and Middle East,50-54,M,Non-smoker,<20,15,>=180
North Afrika and Middle East,50-54,M,Non-smoker,<20,11,160-179
North Afrika and Middle East,50-54,M,Non-smoker,<20,8,140-159
North Afrika and Middle East,50-54,M,Non-smoker,<20,6,120-139
North Afrika and Middle East,50-54,M,Non-smoker,<20,4,<120
North Afrika and Middle East,45-49,M,Non-smoker,<20,11,>=180
North Afrika and Middle East,45-49,M,Non-smoker,<20,8,160-179
North Afrika and Middle East,45-49,M,Non-smoker,<20,6,140-159
North Afrika and Middle East,45-49,M,Non-smoker,<20,4,120-139
North Afrika and Middle East,45-49,M,Non-smoker,<20,3,<120
North Afrika and Middle East,40-44,M,Non-smoker,<20,9,>=180
North Afrika and Middle East,40-44,M,Non-smoker,<20,6,160-179
North Afrika and Middle East,40-44,M,Non-smoker,<20,4,140-159
North Afrika and Middle East,40-44,M,Non-smoker,<20,3,120-139
North Afrika and Middle East,40-44,M,Non-smoker,<20,2,<120
Central Sub-Saharan Africa,70-74,M,Non-smoker,<20,25,>=180
Central Sub-Saharan Africa,70-74,M,Non-smoker,<20,20,160-179
Central Sub-Saharan Africa,70-74,M,Non-smoker,<20,17,140-159
Central Sub-Saharan Africa,70-74,M,Non-smoker,<20,14,120-139
Central Sub-Saharan Africa,70-74,M,Non-smoker,<20,11,<120
Central Sub-Saharan Africa,65-69,M,Non-smoker,<20,19,>=180
Central Sub-Saharan Africa,65-69,M,Non-smoker,<20,15,160-179
Central Sub-Saharan Africa,65-69,M,Non-smoker,<20,12,140-159
Central Sub-Saharan Africa,65-69,M,Non-smoker,<20,10,120-139
Central Sub-Saharan Africa,65-69,M,Non-smoker,<20,8,<120
Central Sub-Saharan Africa,60-64,M,Non-smoker,<20,15,>=180
Central Sub-Saharan Africa,60-64,M,Non-smoker,<20,12,160-179
Central Sub-Saharan Africa,60-64,M,Non-smoker,<20,9,140-159
Central Sub-Saharan Africa,60-64,M,Non-smoker,<20,7,120-139
Central Sub-Saharan Africa,60-64,M,Non-smoker,<20,5,<120
Central Sub-Saharan Africa,55-59,M,Non-smoker,<20,11,>=180
Central Sub-Saharan Africa,55-59,M,Non-smoker,<20,9,160-179
Central Sub-Saharan Africa,55-59,M,Non-smoker,<20,7,140-159
Central Sub-Saharan Africa,55-59,M,Non-smoker,<20,5,120-139
Central Sub-Saharan Africa,55-59,M,Non-smoker,<20,4,<120
Central Sub-Saharan Africa,50-54,M,Non-smoker,<20,9,>=180
Central Sub-Saharan Africa,50-54,M,Non-smoker,<20,7,160-179
Central Sub-Saharan Africa,50-54,M,Non-smoker,<20,5,140-159
Central Sub-Saharan Africa,50-54,M,Non-smoker,<20,4,120-139
Central Sub-Saharan Africa,50-54,M,Non-smoker,<20,3,<120
Central Sub-Saharan Africa,45-49,M,Non-smoker,<20,7,>=180
Central Sub-Saharan Africa,45-49,M,Non-smoker,<20,5,160-179
Central Sub-Saharan Africa,45-49,M,Non-smoker,<20,4,140-159
Central Sub-Saharan Africa,45-49,M,Non-smoker,<20,3,120-139
Central Sub-Saharan Africa,45-49,M,Non-smoker,<20,2,<120
Central Sub-Saharan Africa,40-44,M,Non-smoker,<20,5,>=180
Central Sub-Saharan Africa,40-44,M,Non-smoker,<20,4,160-179
Central Sub-Saharan Africa,40-44,M,Non-smoker,<20,3,140-159
Central Sub-Saharan Africa,40-44,M,Non-smoker,<20,2,120-139
Central Sub-Saharan Africa,40-44,M,Non-smoker,<20,1,<120
Eastern Sub-Saharan Africa,70-74,M,Non-smoker,<20,24,>=180
Eastern Sub-Saharan Africa,70-74,M,Non-smoker,<20,20,160-179
Eastern Sub-Saharan Africa,70-74,M,Non-smoker,<20,16,140-159
Eastern Sub-Saharan Africa,70-74,M,Non-smoker,<20,13,120-139
Eastern Sub-Saharan Africa,70-74,M,Non-smoker,<20,11,<120
Eastern Sub-Saharan Africa,65-69,M,Non-smoker,<20,19,>=180
Eastern Sub-Saharan Africa,65-69,M,Non-smoker,<20,15,160-179
Eastern Sub-Saharan Africa,65-69,M,Non-smoker,<20,12,140-159
Eastern Sub-Saharan Africa,65-69,M,Non-smoker,<20,9,120-139
Eastern Sub-Saharan Africa,65-69,M,Non-smoker,<20,8,<120
Eastern Sub-Saharan Africa,60-64,M,Non-smoker,<20,14,>=180
Eastern Sub-Saharan Africa,60-64,M,Non-smoker,<20,11,160-179
Eastern Sub-Saharan Africa,60-64,M,Non-smoker,<20,9,140-159
Eastern Sub-Saharan Africa,60-64,M,Non-smoker,<20,7,120-139
Eastern Sub-Saharan Africa,60-64,M,Non-smoker,<20,5,<120
Eastern Sub-Saharan Africa,55-59,M,Non-smoker,<20,11,>=180
Eastern Sub-Saharan Africa,55-59,M,Non-smoker,<20,8,160-179
Eastern Sub-Saharan Africa,55-59,M,Non-smoker,<20,6,140-159
Eastern Sub-Saharan Africa,55-59,M,Non-smoker,<20,5,120-139
Eastern Sub-Saharan Africa,55-59,M,Non-smoker,<20,4,<120
Eastern Sub-Saharan Africa,50-54,M,Non-smoker,<20,9,>=180
Eastern Sub-Saharan Africa,50-54,M,Non-smoker,<20,6,160-179
Eastern Sub-Saharan Africa,50-54,M,Non-smoker,<20,5,140-159
Eastern Sub-Saharan Africa,50-54,M,Non-smoker,<20,3,120-139
Eastern Sub-Saharan Africa,50-54,M,Non-smoker,<20,3,<120
Eastern Sub-Saharan Africa,45-49,M,Non-smoker,<20,7,>=180
