Region,Age,DM,Gender,Smoke,CHOL,Risk,SBP
North Afrika and Middle East,70-74,No,M,Non-smoker,<4,37,>=180
North Afrika and Middle East,70-74,No,M,Non-smoker,<4,26,160-179
North Afrika and Middle East,70-74,No,M,Non-smoker,<4,21,140-159
North Afrika and Middle East,70-74,No,M,Non-smoker,<4,21,120-139
North Afrika and Middle East,70-74,No,M,Non-smoker,<4,18,<120
North Afrika and Middle East,65-69,No,M,Non-smoker,<4,29,>=180
North Afrika and Middle East,65-69,No,M,Non-smoker,<4,24,160-179
North Afrika and Middle East,65-69,No,M,Non-smoker,<4,19,140-159
North Afrika and Middle East,65-69,No,M,Non-smoker,<4,16,120-139
North Afrika and Middle East,65-69,No,M,Non-smoker,<4,13,<120
North Afrika and Middle East,60-64,No,M,Non-smoker,<4,23,>=180
North Afrika and Middle East,60-64,No,M,Non-smoker,<4,18,160-179
North Afrika and Middle East,60-64,No,M,Non-smoker,<4,14,140-159
North Afrika and Middle East,60-64,No,M,Non-smoker,<4,11,120-139
North Afrika and Middle East,60-64,No,M,Non-smoker,<4,9,<120
North Afrika and Middle East,55-59,No,M,Non-smoker,<4,18,>=180
North Afrika and Middle East,55-59,No,M,Non-smoker,<4,14,160-179
North Afrika and Middle East,55-59,No,M,Non-smoker,<4,11,140-159
North Afrika and Middle East,55-59,No,M,Non-smoker,<4,8,120-139
North Afrika and Middle East,55-59,No,M,Non-smoker,<4,6,<120
North Afrika and Middle East,50-54,No,M,Non-smoker,<4,18,>=180
North Afrika and Middle East,50-54,No,M,Non-smoker,<4,10,160-179
North Afrika and Middle East,50-54,No,M,Non-smoker,<4,8,140-159
North Afrika and Middle East,50-54,No,M,Non-smoker,<4,6,120-139
North Afrika and Middle East,50-54,No,M,Non-smoker,<4,4,<120
North Afrika and Middle East,45-49,No,M,Non-smoker,<4,11,>=180
North Afrika and Middle East,45-49,No,M,Non-smoker,<4,8,160-179
North Afrika and Middle East,45-49,No,M,Non-smoker,<4,6,140-159
North Afrika and Middle East,45-49,No,M,Non-smoker,<4,4,120-139
North Afrika and Middle East,45-49,No,M,Non-smoker,<4,3,<120
